Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
605,Joely Rodriguez*,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rodrijo06
606,Julio Rodriguez,21,SEA,AL,129,549,500,81,140,24,3,27,73,25,7,40,143,.280,.342,.502,.844,144,251,7,8,0,1,4,*8/H,rodriju01
607,Taylor Rogers*,31,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,rogerta01
608,Jose Rojas*,29,LAA,AL,22,57,56,1,7,2,0,0,1,0,0,0,19,.125,.140,.161,.301,-14,9,1,1,0,0,0,5/H97,rojasjo02
609,Josh Rojas*,28,ARI,NL,119,484,421,63,110,21,1,8,50,20,3,53,94,.261,.344,.373,.717,105,157,7,2,4,4,2,54/HD,rojasjo01
610,Miguel Rojas,33,MIA,NL,136,495,460,34,108,19,2,6,35,9,3,25,60,.235,.281,.324,.605,72,149,12,6,1,3,1,*6/3H,rojasmi02
611,JoJo Romero*,25,TOT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,romerjo01
612,Austin Romine,33,TOT,MLB,47,123,116,10,19,3,0,3,9,0,0,4,40,.164,.198,.267,.466,27,31,2,1,2,0,0,2/DH,rominau01
613,Brent Rooker,27,TOT,MLB,16,36,32,1,4,1,0,0,2,0,0,3,11,.125,.222,.156,.378,11,5,2,1,0,0,0,/7HD9,rookebr01
614,Amed Rosario,26,CLE,AL,148,649,617,83,174,26,9,11,70,17,4,25,108,.282,.313,.407,.720,106,251,19,4,0,3,0,*6/D7H,rosaram01
615,Eddie Rosario*,30,ATL,NL,76,256,237,27,52,12,1,5,22,3,0,17,62,.219,.270,.342,.611,69,81,3,0,0,2,0,79H/D,rosared01
616,Eguy Rosario,22,SDP,NL,7,6,5,0,1,0,0,0,0,0,0,1,2,.200,.333,.200,.533,62,1,0,0,0,0,0,/H56D,rosareg01
617,Darin Ruf,35,TOT,NL,118,388,334,52,68,12,0,11,45,2,0,45,105,.204,.307,.338,.645,83,113,11,6,0,3,0,3DH7/91,rufda01
618,Esteury Ruiz,23,TOT,NL,17,36,35,3,6,1,1,0,2,1,2,1,7,.171,.194,.257,.452,30,9,0,0,0,0,0,/789H,ruizes01
619,Keibert Ruiz#,23,WSN,NL,112,433,394,33,99,22,0,7,36,6,1,30,50,.251,.313,.360,.673,95,142,9,6,1,2,0,*2H/D,ruizke01
620,Adley Rutschman#,24,BAL,AL,107,444,378,67,96,32,1,13,41,4,0,59,81,.254,.358,.447,.805,128,169,4,4,0,3,0,2D/H,rutscad01
621,Gary Sanchez,29,MIN,AL,122,446,399,40,84,23,0,15,57,2,0,35,126,.211,.283,.381,.663,90,152,11,7,0,5,0,2DH/3,sanchga02
622,Jesus Sanchez*,24,MIA,NL,93,325,297,36,61,12,3,12,33,1,0,24,86,.205,.271,.387,.658,84,115,7,3,0,1,0,8/7H9,sanchje02
623,Yolmer Sanchez#,30,TOT,MLB,17,44,37,1,4,0,0,0,2,0,2,5,13,.108,.214,.108,.322,-6,4,0,0,2,0,0,4/51H6,sanchca01
624,Donny Sands,26,PHI,NL,3,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-20,0,1,0,0,0,0,/H2D,sandsdo01
625,Reiver Sanmartin*,26,CIN,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,sanmare01
626,Miguel Sano,29,MIN,AL,20,71,60,1,5,0,0,1,3,1,0,9,25,.083,.211,.133,.345,3,8,0,1,0,1,0,3/D,sanomi01
627,Carlos Santana#,36,TOT,AL,124,481,409,48,79,17,0,19,58,0,0,68,83,.193,.310,.374,.684,96,153,9,2,0,2,2,3D/H,santaca01
628,Anthony Santander#,27,BAL,AL,146,623,556,76,138,24,0,33,88,0,2,51,116,.248,.323,.469,.792,122,261,14,12,0,4,1,*97D/H,santaan02
629,Clarke Schmidt,26,NYY,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,schmicl01
630,Jonathan Schoop,30,DET,AL,125,484,459,46,93,22,1,11,38,5,0,17,102,.203,.236,.327,.562,62,150,15,4,0,4,1,*4/3HD,schoojo01
631,Max Schrock*,27,CIN,NL,13,27,26,1,4,0,0,0,1,0,0,1,6,.154,.185,.154,.339,-6,4,0,0,0,0,0,/H947D1,schroma01
632,Kyle Schwarber*,29,PHI,NL,148,640,555,95,118,21,2,42,87,9,1,79,194,.213,.314,.485,.799,122,269,10,4,0,2,3,*7D/H,schwaky01
633,Frank Schwindel,30,CHC,NL,75,292,271,23,62,11,0,8,36,0,0,19,58,.229,.277,.358,.635,78,97,12,0,0,2,1,3D/H1,schwifr01
634,Tanner Scott,27,MIA,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,scottta01
635,Corey Seager*,28,TEX,AL,146,642,573,87,141,23,1,32,81,3,0,57,99,.246,.319,.457,.777,119,262,14,7,0,5,7,*6/D,seageco01
636,Jean Segura,32,PHI,NL,91,362,330,40,91,9,0,10,31,13,5,24,56,.276,.337,.394,.731,106,130,16,7,0,1,1,4/H6,segurje01
637,Marcus Semien,31,TEX,AL,153,688,623,97,158,31,5,24,78,24,7,52,110,.254,.311,.435,.746,110,271,7,4,0,9,0,*46,semiema01
638,Nick Senzel,27,CIN,NL,110,420,373,45,86,13,0,5,25,8,5,30,76,.231,.296,.306,.601,64,114,7,5,2,1,0,8/DH54,senzeni01
639,Brian Serven,27,COL,NL,59,195,178,19,37,4,1,6,16,0,0,13,38,.208,.268,.343,.611,63,61,7,2,1,1,0,2/H3D1,servebr01
